page,performance,accessibility,bestPractices,seo,pwa,lcp_ms,inp_ms,cls,ttfb_ms
biblia,71,100,96,100,,3726.9244,,0.3538443629959581,1.383
cadastro,88,100,96,100,,3511.6852999999996,,0,1.6350000000000002
contato,90,95,96,100,,3360.5023499999998,,0,1.463
dashboard,83,89,96,100,,4359.65925,,0,1.831
icons,95,100,96,100,,2687.7986500000006,,0,1.281
livraria,0,98,96,100,,,,0,1.353
login,88,89,96,100,,3620.454500000001,,0,1.585
onboarding,96,100,96,100,,2460.3084,,0,3.612
planos,0,0,0,0,,,,,
root,93,92,96,100,,2918.3491,,0,1.795
slide,95,100,96,100,,2748.6475,,0,1.7770000000000001
summary,0,0,0,0,,,,,